DATE,TIME,COMPANY NAME,MARKET,SECTOR,STOCK CODE,CHANGE,PERCENTAGE CHANGE,VOLUME,BUY VOLUME,BUY,SELL,SELL VOLUME,LACP,OPEN,HIGH,LOW
9/19/2017,5.00 PM,AJINAMOTO(MALAYSIA) BERHAD,MAIN MARKET,CONSUMER,2658,0.6,2.95,695,1,20.9,20.9,1,20.3,20.1,21,20
9/20/2017,5:00 PM,AJINAMOTO(MALAYSIA) BERHAD,MAIN MARKET,CONSUMER,2658,-0.3,-1.44,1731,103,20.6,20.64,5,20.9,21,21.6,20.6
9/21/2017,5.00 PM,AJINAMOTO(MALAYSIA) BERHAD,MAIN MARKET,CONSUMER,2658,-0.06,-0.29,450,32,20.5,20.54,1,20.6,20.88,20.98,20.5
9/22/2017,5.00 PM,AJINAMOTO(MALAYSIA) BERHAD,MAIN MARKET,CONSUMER,2658,-0.06,-0.29,450,32,20.5,20.54,1,20.6,20.88,20.98,20.5
